,Unit of assessment name,Institution name,4*,3*,2*,1*,FTE Category A staff submitted
1,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Anglia Ruskin University,20,80,0,0,11.3
5,"Psychology, Psychiatry and Neuroscience",Anglia Ruskin University,0,0,20,80,13.7
9,Biological Sciences,Anglia Ruskin University,0,10,70,20,7.25
13,General Engineering,Anglia Ruskin University,0,70,30,0,8.0
17,"Architecture, Built Environment and Planning",Anglia Ruskin University,0,0,50,50,8.0
21,"Geography, Environmental Studies and Archaeology",Anglia Ruskin University,23.3,36.7,40,0,17.5
25,Business and Management Studies,Anglia Ruskin University,10,70,20,0,14.2
29,Law,Anglia Ruskin University,0,40,50,10,10.2
33,Social Work and Social Policy,Anglia Ruskin University,0,0,80,20,14.31
37,Education,Anglia Ruskin University,0,0,50,50,5.2
41,English Language and Literature,Anglia Ruskin University,0,46.7,40,13.3,16.8
45,History,Anglia Ruskin University,0,0,40,20,5.5
49,"Art and Design: History, Practice and Theory",Anglia Ruskin University,0,70,30,0,13.9
53,"Music, Drama, Dance and Performing Arts",Anglia Ruskin University,40,60,0,0,13.8
57,"Communication, Cultural and Media Studies, Library and Information Management",Anglia Ruskin University,0,40,60,0,8.7
61,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Aston University,55.7,38.6,5.7,0,56.8
65,Computer Science and Informatics,Aston University,40,60,0,0,18.2
69,"Electrical and Electronic Engineering, Metallurgy and Materials",Aston University,26.7,73.3,0,0,24.0
73,General Engineering,Aston University,26.7,46.6,13.4,13.3,23.63
77,Business and Management Studies,Aston University,26.7,73.3,0,0,46.3
81,Area Studies,Aston University,30,50,20,0,12.0
85,Modern Languages and Linguistics,Aston University,60,13.3,26.7,0,18.5
89,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Bath,73.3,20,6.7,0,54.2
93,Biological Sciences,University of Bath,13.3,86.7,0,0,24.5
97,Chemistry,University of Bath,50,50,0,0,33.1
101,Physics,University of Bath,66.7,33.3,0,0,23.0
105,Mathematical Sciences,University of Bath,42,42,8,8,44.4
109,Computer Science and Informatics,University of Bath,0,100,0,0,24.0
113,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",University of Bath,38.6,61.4,0,0,61.0
117,"Electrical and Electronic Engineering, Metallurgy and Materials",University of Bath,23.3,76.7,0,0,20.5
121,"Architecture, Built Environment and Planning",University of Bath,90,10,0,0,28.38
