,institution,uoa,case_count,4*,3*,2*,1*,staff,intensity
0,,"aeronautical, mechanical, chemical and manufacturing engineering",18,,,,,,
1,,"art and design: history, practice and theory",11,,,,,,
2,,earth systems and environmental sciences,8,,,,,,
3,,computer science and informatics,6,,,,,,
4,,business and management studies,5,,,,,,
5,,"geography, environmental studies and archaeology",5,,,,,,
6,,"agriculture, veterinary and food science",4,,,,,,
7,,"music, drama, dance and performing arts",4,,,,,,
8,,law,4,,,,,,
9,,"electrical and electronic engineering, metallurgy and materials",3,,,,,,
10,,social work and social policy,3,,,,,,
11,,"allied health professions, dentistry, nursing and pharmacy",2,,,,,,
12,,english language and literature,2,,,,,,
13,,sociology,2,,,,,,
14,,"communication, cultural and media studies, library and information management",2,,,,,,
15,,clinical medicine,2,,,,,,
16,,politics and international studies,2,,,,,,
17,,"sport and exercise sciences, leisure and tourism",2,,,,,,
18,,mathematical sciences,2,,,,,,
19,,modern languages and linguistics,1,,,,,,
20,,"public health, health services and primary care",1,,,,,,
21,aberystwyth and bangor universities biosciences environment and agriculture alliance,"agriculture, veterinary and food science",10,,,,,,
22,aberystwyth university,"geography, environmental studies and archaeology",5,42,58,0,0,38.93,8.784998715643463
23,aberystwyth university,modern languages and linguistics,4,0,60,40,0,7.0,37.142857142857146
24,aberystwyth university,modern languages and linguistics,4,0,50,10,40,12.0,17.5
25,aberystwyth university,"music, drama, dance and performing arts",4,40,40,20,0,28.1,11.387900355871885
26,aberystwyth university,politics and international studies,4,40,40,20,0,27.2,11.764705882352942
27,aberystwyth university,law,3,26.7,50,23.3,0,16.5,18.38787878787879
28,aberystwyth university,computer science and informatics,3,23.3,76.7,0,0,24.8,13.036290322580646
29,aberystwyth university,business and management studies,3,26.7,46.6,13.4,13.3,16.6,17.2710843373494
30,aberystwyth university,history,2,0,50,50,0,14.8,16.89189189189189
31,aberystwyth university,"communication, cultural and media studies, library and information management",2,0,0,60,40,6.0,26.666666666666668
32,aberystwyth university,physics,2,0,30,50,20,12.1,17.355371900826448
33,aberystwyth university,"sport and exercise sciences, leisure and tourism",2,0,90,10,0,10.2,28.43137254901961
34,aberystwyth university,"art and design: history, practice and theory",2,20,80,0,0,4.0,80.0
35,aberystwyth university,english language and literature,2,0,80,20,0,13.6,20.58823529411765
36,aberystwyth university,mathematical sciences,2,0,10,90,0,10.75,19.53488372093023
37,anglia ruskin,law,2,,,,,,
38,anglia ruskin university,"geography, environmental studies and archaeology",3,23.3,36.7,40,0,17.5,16.18857142857143
39,anglia ruskin university,english language and literature,3,0,46.7,40,13.3,16.8,13.892857142857144
40,anglia ruskin university,history,2,0,0,40,20,5.5,18.181818181818183
41,anglia ruskin university,"communication, cultural and media studies, library and information management",2,0,40,60,0,8.7,27.586206896551726
42,anglia ruskin university,business and management studies,2,10,70,20,0,14.2,20.422535211267608
43,anglia ruskin university,education,2,0,0,50,50,5.2,28.846153846153847
44,anglia ruskin university,"psychology, psychiatry and neuroscience",2,0,0,20,80,13.7,8.75912408759124
45,anglia ruskin university,biological sciences,2,0,10,70,20,7.25,26.20689655172414
46,anglia ruskin university,"music, drama, dance and performing arts",2,40,60,0,0,13.8,24.63768115942029
47,anglia ruskin university,social work and social policy,2,0,0,80,20,14.31,12.578616352201257
48,anglia ruskin university,"architecture, built environment and planning",2,0,0,50,50,8.0,18.75
49,anglia ruskin university,"art and design: history, practice and theory",2,0,70,30,0,13.9,19.424460431654676
50,anglia ruskin university,"allied health professions, dentistry, nursing and pharmacy",2,20,80,0,0,11.3,28.318584070796458
51,anglia ruskin university,general engineering,2,0,70,30,0,8.0,33.75
